Country,GDP per Capita,Social Sup,Health,Freedom,Generosity,Perceptions of Corruption
Albania,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216
Armenia,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422
Austria,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365
Azerbaijan,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507
Belarus,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822
Belgium,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131
Bosnia and Herzegovina,0.982409418,1.069335938,0.705186307,0.204403177,0.328867495,0
Bulgaria,1.161459088,1.434379458,0.70821768,0.289231718,0.113177694,0.011051531
Croatia,1.222556233,0.967983007,0.701288521,0.255772293,0.248002976,0.04310311
Cyprus,1.355938077,1.131363273,0.844714701,0.355111539,0.271254301,0.041237976
Czech Republic,1.352682352,1.433885217,0.754444003,0.490946174,0.088106759,0.036872927
Denmark,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068
Estonia,1.32087934,1.4766711,0.695168316,0.47913143,0.098890811,0.183248922
Finland,1.443571925,1.540246725,0.80915767,0.617950857,0.245482773,0.382611543
France,1.430923462,1.387776852,0.844465852,0.470222116,0.129762307,0.172502428
Georgia,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635
Germany,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938
Greece,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777
Hungary,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937
Iceland,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559
Ireland,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153
Italy,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091
Kazakhstan,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886
Kosovo,0.951484382,1.137853503,0.54145205,0.260287941,0.319931448,0.057471618
Kyrgyzstan,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179
Latvia,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727
Lithuania,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643
Luxembourg,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424
Macedonia,1.064577937,1.207893014,0.644948184,0.325905979,0.253760964,0.060277794
Malta,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069
Moldova,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286
Montenegro,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194
Netherlands,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825
North Cyprus,1.346911311,1.186303377,0.834647238,0.471203625,0.266845703,0.155353352
Norway,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835
Poland,1.291787863,1.44571197,0.699475348,0.520342112,0.158465967,0.059307806
Portugal,1.315175295,1.367043018,0.795843542,0.4984653,0.095102713,0.015869452
Romania,1.217683911,1.15009129,0.685158312,0.457003742,0.133519918,0.004387901
Russia,1.281778097,1.469282389,0.547349334,0.373783112,0.052263822,0.032962881
Serbia,1.069317579,1.258189797,0.650784671,0.208715528,0.220125884,0.040903781
Slovakia,1.325393558,1.505059242,0.712732911,0.295817465,0.136544481,0.024210852
Slovenia,1.341205955,1.452518821,0.790828228,0.572575808,0.242649093,0.045128979
Spain,1.384397864,1.532090902,0.8889606,0.40878123,0.190133572,0.070914097
Sweden,1.494387269,1.478162169,0.830875158,0.612924099,0.385399252,0.384398729
Switzerland,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285
Tajikistan,0.524713635,1.271463275,0.529235125,0.471566707,0.248997644,0.146377146
Turkmenistan,1.130776763,1.493149161,0.43772608,0.418271929,0.249924988,0.25927034
Ukraine,0.894651949,1.394537568,0.575903952,0.122974776,0.270061463,0.023029471
United Kingdom,1.44163394,1.49646008,0.805335939,0.508190036,0.492774159,0.265428066
Uzbekistan,0.786441088,1.54896915,0.498272628,0.658248663,0.415983647,0.246528223
